statement,attribute,connotation
exhibits leadership qualities in his position,colaboration,1
knows his own weaknesses,professionalism,1
appears to meetings on time,professionalism,1
delivers high quality work,professionalism,1
is pragmatic,proficency,1
is empathetic,colaboration,1
rushes decisions,professionalism,0
avoids decisions,professionalism,0
values other people's opinion,colaboration,1
offers help to others,colaboration,1
takes responsibility for his actions,professionalism,1
speaks his mind,colaboration,1
does reviews on time,professionalism,1
does careful reviews,professionalism,1
takes time to answer questions,professionalism,1
is a good mentor,colaboration,1
has a professional attitude,professionalism,1
communicates well,colaboration,1
is organized,professionalism,1
is open to feedback,professionalism,1
acts responsibly,professionalism,1
can execute his tasks independently,proficency,1
keeps promisses,professionalism,1
cares about quality,proficency,1
treats others with respect,colaboration,1
actively participates in group meetings,colaboration,1
apologizes for failures,colaboration,1
communicates his actions well,proficency,1
is someone I can learn from,proficency,1
is a role model,professionalism,1
is smart,proficency,1
is working fast,proficency,1
is friendly,colaboration,1
a good employee,proficency,1
can execute a decision that isn't his own,colaboration,1
respects other peoples opinions,colaboration,1
is a voice for reason,colaboration,1
speaks in understandable terms,professionalism,1
actively seeks solutions,proficency,1
is fair,colaboration,1
exudes professionalism,professionalism,1
is jugdemental,colaboration,0
is openminded,colaboration,1
takes risks,proficency,1
has endurance for the long haul,proficency,1
is passionate,professionalism,1
can manage stress,professionalism,1
is good at negotiations,proficency,1
is good at public speaking,proficency,1
can conmunicate a clear vision,proficency,1
thinks in strategic milestones instead of short term goals,proficency,1
is good at coaching others,colaboration,1
is able to start and stop tasks quickly,proficency,1
has compassion for his work,professionalism,1
has attention to detail,proficency,1
finds innovative solutions to problems,proficency,1
can lead a discussion,colaboration,1
is a good listener,colaboration,1
is good at researching problems,proficency,1
is good at trouble shooting,proficency,1
